Query ID: 40
Query : list all articles daeinlg wtih data tpyes in the follwiong laaggeuns:
that are rreefenced feuqrelnty in papres on the above laaggeuns (e.g. catch
any laaggeuns wtih itnenseitrg type structeurs that i might have meissd).
---------------------------------------------
| CACM-3031 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-2651 | 	 | 0.5 | 	 | 0.1 | 	 | R |
| CACM-2184 | 	 | 0.3333333333333333 | 	 | 0.1 | 	 | NR |
| CACM-2956 | 	 | 0.5 | 	 | 0.2 | 	 | R |
| CACM-1588 | 	 | 0.4 | 	 | 0.2 | 	 | NR |
| CACM-3106 | 	 | 0.3333333333333333 | 	 | 0.2 | 	 | NR |
| CACM-2882 | 	 | 0.2857142857142857 | 	 | 0.2 | 	 | NR |
| CACM-1853 | 	 | 0.25 | 	 | 0.2 | 	 | NR |
| CACM-1424 | 	 | 0.2222222222222222 | 	 | 0.2 | 	 | NR |
| CACM-2958 | 	 | 0.3 | 	 | 0.3 | 	 | R |
| CACM-1051 | 	 | 0.2727272727272727 | 	 | 0.3 | 	 | NR |
| CACM-3105 | 	 | 0.25 | 	 | 0.3 | 	 | NR |
| CACM-1389 | 	 | 0.23076923076923078 | 	 | 0.3 | 	 | NR |
| CACM-2051 | 	 | 0.21428571428571427 | 	 | 0.3 | 	 | NR |
| CACM-2723 | 	 | 0.2 | 	 | 0.3 | 	 | NR |
| CACM-1398 | 	 | 0.1875 | 	 | 0.3 | 	 | NR |
| CACM-2060 | 	 | 0.17647058823529413 | 	 | 0.3 | 	 | NR |
| CACM-2513 | 	 | 0.16666666666666666 | 	 | 0.3 | 	 | NR |
| CACM-2957 | 	 | 0.15789473684210525 | 	 | 0.3 | 	 | NR |
| CACM-1255 | 	 | 0.15 | 	 | 0.3 | 	 | NR |
| CACM-2941 | 	 | 0.19047619047619047 | 	 | 0.4 | 	 | R |
| CACM-2314 | 	 | 0.18181818181818182 | 	 | 0.4 | 	 | NR |
| CACM-1830 | 	 | 0.17391304347826086 | 	 | 0.4 | 	 | NR |
| CACM-2838 | 	 | 0.16666666666666666 | 	 | 0.4 | 	 | NR |
| CACM-1181 | 	 | 0.16 | 	 | 0.4 | 	 | NR |
| CACM-2265 | 	 | 0.19230769230769232 | 	 | 0.5 | 	 | R |
| CACM-0527 | 	 | 0.18518518518518517 | 	 | 0.5 | 	 | NR |
| CACM-1972 | 	 | 0.17857142857142858 | 	 | 0.5 | 	 | NR |
| CACM-2244 | 	 | 0.1724137931034483 | 	 | 0.5 | 	 | NR |
| CACM-1046 | 	 | 0.16666666666666666 | 	 | 0.5 | 	 | NR |
| CACM-2243 | 	 | 0.16129032258064516 | 	 | 0.5 | 	 | NR |
| CACM-2083 | 	 | 0.15625 | 	 | 0.5 | 	 | NR |
| CACM-2242 | 	 | 0.15151515151515152 | 	 | 0.5 | 	 | NR |
| CACM-2241 | 	 | 0.14705882352941177 | 	 | 0.5 | 	 | NR |
| CACM-1549 | 	 | 0.14285714285714285 | 	 | 0.5 | 	 | NR |
| CACM-2341 | 	 | 0.1388888888888889 | 	 | 0.5 | 	 | NR |
| CACM-2594 | 	 | 0.13513513513513514 | 	 | 0.5 | 	 | NR |
| CACM-2855 | 	 | 0.13157894736842105 | 	 | 0.5 | 	 | NR |
| CACM-1847 | 	 | 0.1282051282051282 | 	 | 0.5 | 	 | NR |
| CACM-1957 | 	 | 0.125 | 	 | 0.5 | 	 | NR |
| CACM-2772 | 	 | 0.12195121951219512 | 	 | 0.5 | 	 | NR |
| CACM-1457 | 	 | 0.11904761904761904 | 	 | 0.5 | 	 | NR |
| CACM-3103 | 	 | 0.11627906976744186 | 	 | 0.5 | 	 | NR |
| CACM-2937 | 	 | 0.11363636363636363 | 	 | 0.5 | 	 | NR |
| CACM-0605 | 	 | 0.1111111111111111 | 	 | 0.5 | 	 | NR |
| CACM-0251 | 	 | 0.10869565217391304 | 	 | 0.5 | 	 | NR |
| CACM-2857 | 	 | 0.10638297872340426 | 	 | 0.5 | 	 | NR |
| CACM-3095 | 	 | 0.10416666666666667 | 	 | 0.5 | 	 | NR |
| CACM-0944 | 	 | 0.10204081632653061 | 	 | 0.5 | 	 | NR |
| CACM-1878 | 	 | 0.1 | 	 | 0.5 | 	 | NR |
| CACM-1671 | 	 | 0.09803921568627451 | 	 | 0.5 | 	 | NR |
| CACM-1710 | 	 | 0.09615384615384616 | 	 | 0.5 | 	 | NR |
| CACM-2998 | 	 | 0.09433962264150944 | 	 | 0.5 | 	 | NR |
| CACM-2168 | 	 | 0.09259259259259259 | 	 | 0.5 | 	 | NR |
| CACM-3112 | 	 | 0.09090909090909091 | 	 | 0.5 | 	 | NR |
| CACM-1907 | 	 | 0.08928571428571429 | 	 | 0.5 | 	 | NR |
| CACM-0367 | 	 | 0.08771929824561403 | 	 | 0.5 | 	 | NR |
| CACM-1050 | 	 | 0.08620689655172414 | 	 | 0.5 | 	 | NR |
| CACM-1143 | 	 | 0.0847457627118644 | 	 | 0.5 | 	 | NR |
| CACM-3164 | 	 | 0.08333333333333333 | 	 | 0.5 | 	 | NR |
| CACM-2767 | 	 | 0.08196721311475409 | 	 | 0.5 | 	 | NR |
| CACM-0676 | 	 | 0.08064516129032258 | 	 | 0.5 | 	 | NR |
| CACM-2867 | 	 | 0.07936507936507936 | 	 | 0.5 | 	 | NR |
| CACM-2939 | 	 | 0.09375 | 	 | 0.6 | 	 | R |
| CACM-2033 | 	 | 0.09230769230769231 | 	 | 0.6 | 	 | NR |
| CACM-2299 | 	 | 0.09090909090909091 | 	 | 0.6 | 	 | NR |
| CACM-1485 | 	 | 0.08955223880597014 | 	 | 0.6 | 	 | NR |
| CACM-0731 | 	 | 0.08823529411764706 | 	 | 0.6 | 	 | NR |
