Query ID: 7
Query : i am inserted in distributed anothers - concurrent programs ichbiah processes catastrophe and synchronize by using message possibilities of particular interest include function-type and techniquefor understanding the correctness of tense anothers.
---------------------------------------------
| CACM-3043 | 	 | 1.0 | 	 | 0.03571428571428571 | 	 | R |
| CACM-3128 | 	 | 1.0 | 	 | 0.07142857142857142 | 	 | R |
| CACM-3148 | 	 | 1.0 | 	 | 0.10714285714285714 | 	 | R |
| CACM-2740 | 	 | 0.75 | 	 | 0.10714285714285714 | 	 | NR |
| CACM-2342 | 	 | 0.8 | 	 | 0.14285714285714285 | 	 | R |
| CACM-2317 | 	 | 0.6666666666666666 | 	 | 0.14285714285714285 | 	 | NR |
| CACM-1445 | 	 | 0.5714285714285714 | 	 | 0.14285714285714285 | 	 | NR |
| CACM-2912 | 	 | 0.625 | 	 | 0.17857142857142858 | 	 | R |
| CACM-1381 | 	 | 0.5555555555555556 | 	 | 0.17857142857142858 | 	 | NR |
| CACM-2865 | 	 | 0.6 | 	 | 0.21428571428571427 | 	 | R |
| CACM-2949 | 	 | 0.5454545454545454 | 	 | 0.21428571428571427 | 	 | NR |
| CACM-2519 | 	 | 0.5 | 	 | 0.21428571428571427 | 	 | NR |
| CACM-2558 | 	 | 0.46153846153846156 | 	 | 0.21428571428571427 | 	 | NR |
| CACM-1854 | 	 | 0.42857142857142855 | 	 | 0.21428571428571427 | 	 | NR |
| CACM-3141 | 	 | 0.4666666666666667 | 	 | 0.25 | 	 | R |
| CACM-2931 | 	 | 0.4375 | 	 | 0.25 | 	 | NR |
| CACM-1553 | 	 | 0.4117647058823529 | 	 | 0.25 | 	 | NR |
| CACM-2795 | 	 | 0.3888888888888889 | 	 | 0.25 | 	 | NR |
| CACM-2376 | 	 | 0.42105263157894735 | 	 | 0.2857142857142857 | 	 | R |
| CACM-1166 | 	 | 0.4 | 	 | 0.2857142857142857 | 	 | NR |
| CACM-2033 | 	 | 0.38095238095238093 | 	 | 0.2857142857142857 | 	 | NR |
| CACM-1135 | 	 | 0.36363636363636365 | 	 | 0.2857142857142857 | 	 | NR |
| CACM-0616 | 	 | 0.34782608695652173 | 	 | 0.2857142857142857 | 	 | NR |
| CACM-2111 | 	 | 0.3333333333333333 | 	 | 0.2857142857142857 | 	 | NR |
| CACM-1623 | 	 | 0.32 | 	 | 0.2857142857142857 | 	 | NR |
| CACM-2016 | 	 | 0.3076923076923077 | 	 | 0.2857142857142857 | 	 | NR |
| CACM-2320 | 	 | 0.3333333333333333 | 	 | 0.32142857142857145 | 	 | R |
| CACM-2289 | 	 | 0.32142857142857145 | 	 | 0.32142857142857145 | 	 | NR |
| CACM-2896 | 	 | 0.3103448275862069 | 	 | 0.32142857142857145 | 	 | NR |
| CACM-1637 | 	 | 0.3 | 	 | 0.32142857142857145 | 	 | NR |
| CACM-2871 | 	 | 0.2903225806451613 | 	 | 0.32142857142857145 | 	 | NR |
| CACM-2895 | 	 | 0.3125 | 	 | 0.35714285714285715 | 	 | R |
| CACM-2801 | 	 | 0.30303030303030304 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-3014 | 	 | 0.29411764705882354 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-1062 | 	 | 0.2857142857142857 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-2379 | 	 | 0.2777777777777778 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-3080 | 	 | 0.2702702702702703 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-2903 | 	 | 0.2631578947368421 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-2268 | 	 | 0.2564102564102564 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-2890 | 	 | 0.25 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-0046 | 	 | 0.24390243902439024 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-1458 | 	 | 0.23809523809523808 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-1768 | 	 | 0.23255813953488372 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-2972 | 	 | 0.22727272727272727 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-1931 | 	 | 0.2222222222222222 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-0243 | 	 | 0.21739130434782608 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-2981 | 	 | 0.2127659574468085 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-1243 | 	 | 0.20833333333333334 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-1181 | 	 | 0.20408163265306123 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-1625 | 	 | 0.2 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-1440 | 	 | 0.19607843137254902 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-3078 | 	 | 0.19230769230769232 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-1323 | 	 | 0.18867924528301888 | 	 | 0.35714285714285715 | 	 | NR |
| CACM-1198 | 	 | 0.2037037037037037 | 	 | 0.39285714285714285 | 	 | R |
| CACM-2657 | 	 | 0.2 | 	 | 0.39285714285714285 | 	 | NR |
| CACM-2905 | 	 | 0.19642857142857142 | 	 | 0.39285714285714285 | 	 | NR |
| CACM-1939 | 	 | 0.19298245614035087 | 	 | 0.39285714285714285 | 	 | NR |
| CACM-1749 | 	 | 0.1896551724137931 | 	 | 0.39285714285714285 | 	 | NR |
| CACM-1098 | 	 | 0.1864406779661017 | 	 | 0.39285714285714285 | 	 | NR |
| CACM-2216 | 	 | 0.18333333333333332 | 	 | 0.39285714285714285 | 	 | NR |
| CACM-2864 | 	 | 0.18032786885245902 | 	 | 0.39285714285714285 | 	 | NR |
| CACM-2080 | 	 | 0.1774193548387097 | 	 | 0.39285714285714285 | 	 | NR |
| CACM-3137 | 	 | 0.1746031746031746 | 	 | 0.39285714285714285 | 	 | NR |
| CACM-2355 | 	 | 0.171875 | 	 | 0.39285714285714285 | 	 | NR |
| CACM-2979 | 	 | 0.16923076923076924 | 	 | 0.39285714285714285 | 	 | NR |
| CACM-2188 | 	 | 0.16666666666666666 | 	 | 0.39285714285714285 | 	 | NR |
| CACM-1960 | 	 | 0.1791044776119403 | 	 | 0.42857142857142855 | 	 | R |
| CACM-1665 | 	 | 0.17647058823529413 | 	 | 0.42857142857142855 | 	 | NR |
| CACM-1626 | 	 | 0.17391304347826086 | 	 | 0.42857142857142855 | 	 | NR |
| CACM-3048 | 	 | 0.17142857142857143 | 	 | 0.42857142857142855 | 	 | NR |
| CACM-1719 | 	 | 0.16901408450704225 | 	 | 0.42857142857142855 | 	 | NR |
| CACM-0497 | 	 | 0.16666666666666666 | 	 | 0.42857142857142855 | 	 | NR |
| CACM-2233 | 	 | 0.1643835616438356 | 	 | 0.42857142857142855 | 	 | NR |
| CACM-2150 | 	 | 0.17567567567567569 | 	 | 0.4642857142857143 | 	 | R |
| CACM-2962 | 	 | 0.17333333333333334 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1770 | 	 | 0.17105263157894737 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2843 | 	 | 0.16883116883116883 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2937 | 	 | 0.16666666666666666 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1885 | 	 | 0.16455696202531644 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1753 | 	 | 0.1625 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1415 | 	 | 0.16049382716049382 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1526 | 	 | 0.15853658536585366 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-3104 | 	 | 0.1566265060240964 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1179 | 	 | 0.15476190476190477 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2851 | 	 | 0.15294117647058825 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2943 | 	 | 0.1511627906976744 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2969 | 	 | 0.14942528735632185 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1769 | 	 | 0.14772727272727273 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2274 | 	 | 0.14606741573033707 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2227 | 	 | 0.14444444444444443 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2326 | 	 | 0.14285714285714285 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2305 | 	 | 0.14130434782608695 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2882 | 	 | 0.13978494623655913 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2581 | 	 | 0.13829787234042554 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-3021 | 	 | 0.1368421052631579 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-3140 | 	 | 0.13541666666666666 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-0964 | 	 | 0.13402061855670103 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1026 | 	 | 0.1326530612244898 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2802 | 	 | 0.13131313131313133 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-0942 | 	 | 0.13 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1397 | 	 | 0.12871287128712872 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1748 | 	 | 0.12745098039215685 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2913 | 	 | 0.1262135922330097 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2344 | 	 | 0.125 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2695 | 	 | 0.12380952380952381 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2732 | 	 | 0.12264150943396226 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2734 | 	 | 0.12149532710280374 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-0225 | 	 | 0.12037037037037036 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-3084 | 	 | 0.11926605504587157 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-3157 | 	 | 0.11818181818181818 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1281 | 	 | 0.11711711711711711 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1664 | 	 | 0.11607142857142858 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1237 | 	 | 0.11504424778761062 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1282 | 	 | 0.11403508771929824 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2378 | 	 | 0.11304347826086956 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-0893 | 	 | 0.11206896551724138 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1518 | 	 | 0.1111111111111111 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1009 | 	 | 0.11016949152542373 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2371 | 	 | 0.1092436974789916 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1706 | 	 | 0.10833333333333334 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-0248 | 	 | 0.10743801652892562 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1396 | 	 | 0.10655737704918032 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-3039 | 	 | 0.10569105691056911 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2265 | 	 | 0.10483870967741936 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-3031 | 	 | 0.104 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2568 | 	 | 0.10317460317460317 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2626 | 	 | 0.10236220472440945 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1409 | 	 | 0.1015625 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2060 | 	 | 0.10077519379844961 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2420 | 	 | 0.1 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2327 | 	 | 0.09923664122137404 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2716 | 	 | 0.09848484848484848 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1764 | 	 | 0.09774436090225563 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1591 | 	 | 0.09701492537313433 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1698 | 	 | 0.0962962962962963 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2958 | 	 | 0.09558823529411764 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1543 | 	 | 0.0948905109489051 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2920 | 	 | 0.09420289855072464 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-3127 | 	 | 0.09352517985611511 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1334 | 	 | 0.09285714285714286 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1331 | 	 | 0.09219858156028368 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-3003 | 	 | 0.09154929577464789 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-3077 | 	 | 0.09090909090909091 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1453 | 	 | 0.09027777777777778 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2179 | 	 | 0.0896551724137931 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1892 | 	 | 0.08904109589041095 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2946 | 	 | 0.08843537414965986 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2535 | 	 | 0.08783783783783784 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-0595 | 	 | 0.087248322147651 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1430 | 	 | 0.08666666666666667 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-1099 | 	 | 0.08609271523178808 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2623 | 	 | 0.08552631578947369 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2354 | 	 | 0.08496732026143791 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2147 | 	 | 0.08441558441558442 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2219 | 	 | 0.08387096774193549 | 	 | 0.4642857142857143 | 	 | NR |
| CACM-2866 | 	 | 0.08974358974358974 | 	 | 0.5 | 	 | R |
| CACM-2483 | 	 | 0.08917197452229299 | 	 | 0.5 | 	 | NR |
| CACM-2940 | 	 | 0.08860759493670886 | 	 | 0.5 | 	 | NR |
| CACM-1564 | 	 | 0.0880503144654088 | 	 | 0.5 | 	 | NR |
| CACM-3000 | 	 | 0.0875 | 	 | 0.5 | 	 | NR |
| CACM-1601 | 	 | 0.08695652173913043 | 	 | 0.5 | 	 | NR |
| CACM-2999 | 	 | 0.08641975308641975 | 	 | 0.5 | 	 | NR |
| CACM-1159 | 	 | 0.08588957055214724 | 	 | 0.5 | 	 | NR |
| CACM-2264 | 	 | 0.08536585365853659 | 	 | 0.5 | 	 | NR |
| CACM-3194 | 	 | 0.08484848484848485 | 	 | 0.5 | 	 | NR |
| CACM-2544 | 	 | 0.08433734939759036 | 	 | 0.5 | 	 | NR |
| CACM-1653 | 	 | 0.08383233532934131 | 	 | 0.5 | 	 | NR |
| CACM-1427 | 	 | 0.08333333333333333 | 	 | 0.5 | 	 | NR |
| CACM-1528 | 	 | 0.08284023668639054 | 	 | 0.5 | 	 | NR |
| CACM-2486 | 	 | 0.08235294117647059 | 	 | 0.5 | 	 | NR |
| CACM-1563 | 	 | 0.08187134502923976 | 	 | 0.5 | 	 | NR |
| CACM-1160 | 	 | 0.08139534883720931 | 	 | 0.5 | 	 | NR |
| CACM-2893 | 	 | 0.08092485549132948 | 	 | 0.5 | 	 | NR |
| CACM-2656 | 	 | 0.08045977011494253 | 	 | 0.5 | 	 | NR |
| CACM-1745 | 	 | 0.08 | 	 | 0.5 | 	 | NR |
| CACM-1884 | 	 | 0.07954545454545454 | 	 | 0.5 | 	 | NR |
| CACM-0855 | 	 | 0.07909604519774012 | 	 | 0.5 | 	 | NR |
| CACM-2616 | 	 | 0.07865168539325842 | 	 | 0.5 | 	 | NR |
| CACM-2938 | 	 | 0.0782122905027933 | 	 | 0.5 | 	 | NR |
| CACM-1708 | 	 | 0.07777777777777778 | 	 | 0.5 | 	 | NR |
| CACM-2713 | 	 | 0.07734806629834254 | 	 | 0.5 | 	 | NR |
| CACM-0724 | 	 | 0.07692307692307693 | 	 | 0.5 | 	 | NR |
| CACM-3170 | 	 | 0.07650273224043716 | 	 | 0.5 | 	 | NR |
| CACM-2457 | 	 | 0.07608695652173914 | 	 | 0.5 | 	 | NR |
| CACM-2809 | 	 | 0.07567567567567568 | 	 | 0.5 | 	 | NR |
| CACM-1752 | 	 | 0.07526881720430108 | 	 | 0.5 | 	 | NR |
| CACM-2166 | 	 | 0.0748663101604278 | 	 | 0.5 | 	 | NR |
| CACM-1247 | 	 | 0.07446808510638298 | 	 | 0.5 | 	 | NR |
| CACM-2406 | 	 | 0.07407407407407407 | 	 | 0.5 | 	 | NR |
| CACM-2178 | 	 | 0.07368421052631578 | 	 | 0.5 | 	 | NR |
| CACM-2314 | 	 | 0.07329842931937172 | 	 | 0.5 | 	 | NR |
| CACM-3143 | 	 | 0.07291666666666667 | 	 | 0.5 | 	 | NR |
| CACM-2665 | 	 | 0.07253886010362694 | 	 | 0.5 | 	 | NR |
| CACM-2110 | 	 | 0.07216494845360824 | 	 | 0.5 | 	 | NR |
| CACM-1541 | 	 | 0.07179487179487179 | 	 | 0.5 | 	 | NR |
| CACM-2849 | 	 | 0.07142857142857142 | 	 | 0.5 | 	 | NR |
| CACM-1459 | 	 | 0.07106598984771574 | 	 | 0.5 | 	 | NR |
| CACM-0069 | 	 | 0.0707070707070707 | 	 | 0.5 | 	 | NR |
| CACM-1738 | 	 | 0.07035175879396985 | 	 | 0.5 | 	 | NR |
| CACM-2737 | 	 | 0.07 | 	 | 0.5 | 	 | NR |
| CACM-3082 | 	 | 0.07462686567164178 | 	 | 0.5357142857142857 | 	 | R |
| CACM-2470 | 	 | 0.07425742574257425 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-1928 | 	 | 0.07389162561576355 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2644 | 	 | 0.07352941176470588 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2439 | 	 | 0.07317073170731707 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2106 | 	 | 0.07281553398058252 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-3103 | 	 | 0.07246376811594203 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-3138 | 	 | 0.07211538461538461 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2741 | 	 | 0.07177033492822966 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2402 | 	 | 0.07142857142857142 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-3144 | 	 | 0.07109004739336493 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-3028 | 	 | 0.07075471698113207 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2993 | 	 | 0.07042253521126761 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2572 | 	 | 0.07009345794392523 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-0224 | 	 | 0.06976744186046512 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-1234 | 	 | 0.06944444444444445 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-0284 | 	 | 0.06912442396313365 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-0210 | 	 | 0.06880733944954129 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2481 | 	 | 0.0684931506849315 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2523 | 	 | 0.06818181818181818 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-1654 | 	 | 0.06787330316742081 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-1805 | 	 | 0.06756756756756757 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-1711 | 	 | 0.06726457399103139 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-1308 | 	 | 0.06696428571428571 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2798 | 	 | 0.06666666666666667 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-1771 | 	 | 0.06637168141592921 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-1720 | 	 | 0.06607929515418502 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-1144 | 	 | 0.06578947368421052 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2517 | 	 | 0.06550218340611354 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2356 | 	 | 0.06521739130434782 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-3201 | 	 | 0.06493506493506493 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-0637 | 	 | 0.06465517241379311 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2343 | 	 | 0.06437768240343347 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-3064 | 	 | 0.0641025641025641 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-1345 | 	 | 0.06382978723404255 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-1542 | 	 | 0.0635593220338983 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2709 | 	 | 0.06329113924050633 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2307 | 	 | 0.06302521008403361 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2177 | 	 | 0.06276150627615062 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-1889 | 	 | 0.0625 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2155 | 	 | 0.06224066390041494 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2604 | 	 | 0.06198347107438017 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2786 | 	 | 0.06172839506172839 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2771 | 	 | 0.06147540983606557 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2358 | 	 | 0.061224489795918366 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-1674 | 	 | 0.06097560975609756 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-0462 | 	 | 0.06072874493927125 | 	 | 0.5357142857142857 | 	 | NR |
| CACM-2396 | 	 | 0.06048387096774194 | 	 | 0.5357142857142857 | 	 | NR |
