Query ID: 36
Query : fast aitorlhgm for coeetxt-fnre lgnguaae riiogonectn or parsing
---------------------------------------------
| CACM-0997 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-0998 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-0999 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-0993 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-0994 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-0995 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-0996 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-0990 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-0991 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-0992 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-2703 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-2702 | 	 | 0.08333333333333333 | 	 | 0.05 | 	 | R |
| CACM-2705 | 	 | 0.07692307692307693 | 	 | 0.05 | 	 | NR |
| CACM-2704 | 	 | 0.07142857142857142 | 	 | 0.05 | 	 | NR |
| CACM-2701 | 	 | 0.06666666666666667 | 	 | 0.05 | 	 | NR |
| CACM-2700 | 	 | 0.0625 | 	 | 0.05 | 	 | NR |
| CACM-2707 | 	 | 0.058823529411764705 | 	 | 0.05 | 	 | NR |
| CACM-2706 | 	 | 0.05555555555555555 | 	 | 0.05 | 	 | NR |
| CACM-2709 | 	 | 0.05263157894736842 | 	 | 0.05 | 	 | NR |
| CACM-2708 | 	 | 0.1 | 	 | 0.1 | 	 | R |
| CACM-0975 | 	 | 0.09523809523809523 | 	 | 0.1 | 	 | NR |
| CACM-0976 | 	 | 0.09090909090909091 | 	 | 0.1 | 	 | NR |
| CACM-0977 | 	 | 0.08695652173913043 | 	 | 0.1 | 	 | NR |
| CACM-0978 | 	 | 0.08333333333333333 | 	 | 0.1 | 	 | NR |
| CACM-0971 | 	 | 0.08 | 	 | 0.1 | 	 | NR |
| CACM-0972 | 	 | 0.07692307692307693 | 	 | 0.1 | 	 | NR |
| CACM-0973 | 	 | 0.07407407407407407 | 	 | 0.1 | 	 | NR |
| CACM-0974 | 	 | 0.07142857142857142 | 	 | 0.1 | 	 | NR |
| CACM-0970 | 	 | 0.06896551724137931 | 	 | 0.1 | 	 | NR |
| CACM-0979 | 	 | 0.06666666666666667 | 	 | 0.1 | 	 | NR |
| CACM-0986 | 	 | 0.06451612903225806 | 	 | 0.1 | 	 | NR |
| CACM-0987 | 	 | 0.0625 | 	 | 0.1 | 	 | NR |
| CACM-0988 | 	 | 0.06060606060606061 | 	 | 0.1 | 	 | NR |
| CACM-0989 | 	 | 0.058823529411764705 | 	 | 0.1 | 	 | NR |
| CACM-0982 | 	 | 0.05714285714285714 | 	 | 0.1 | 	 | NR |
| CACM-0983 | 	 | 0.05555555555555555 | 	 | 0.1 | 	 | NR |
| CACM-0984 | 	 | 0.05405405405405406 | 	 | 0.1 | 	 | NR |
| CACM-0985 | 	 | 0.05263157894736842 | 	 | 0.1 | 	 | NR |
| CACM-0980 | 	 | 0.05128205128205128 | 	 | 0.1 | 	 | NR |
| CACM-0981 | 	 | 0.05 | 	 | 0.1 | 	 | NR |
| CACM-1405 | 	 | 0.04878048780487805 | 	 | 0.1 | 	 | NR |
| CACM-2736 | 	 | 0.047619047619047616 | 	 | 0.1 | 	 | NR |
| CACM-1404 | 	 | 0.046511627906976744 | 	 | 0.1 | 	 | NR |
| CACM-2735 | 	 | 0.045454545454545456 | 	 | 0.1 | 	 | NR |
| CACM-1407 | 	 | 0.044444444444444446 | 	 | 0.1 | 	 | NR |
| CACM-2738 | 	 | 0.043478260869565216 | 	 | 0.1 | 	 | NR |
| CACM-1406 | 	 | 0.0425531914893617 | 	 | 0.1 | 	 | NR |
| CACM-2737 | 	 | 0.041666666666666664 | 	 | 0.1 | 	 | NR |
| CACM-1401 | 	 | 0.04081632653061224 | 	 | 0.1 | 	 | NR |
| CACM-2732 | 	 | 0.04 | 	 | 0.1 | 	 | NR |
| CACM-1400 | 	 | 0.0392156862745098 | 	 | 0.1 | 	 | NR |
| CACM-2731 | 	 | 0.038461538461538464 | 	 | 0.1 | 	 | NR |
| CACM-1403 | 	 | 0.03773584905660377 | 	 | 0.1 | 	 | NR |
| CACM-2734 | 	 | 0.037037037037037035 | 	 | 0.1 | 	 | NR |
| CACM-1402 | 	 | 0.03636363636363636 | 	 | 0.1 | 	 | NR |
| CACM-2733 | 	 | 0.05357142857142857 | 	 | 0.15 | 	 | R |
| CACM-2730 | 	 | 0.05263157894736842 | 	 | 0.15 | 	 | NR |
| CACM-1409 | 	 | 0.05172413793103448 | 	 | 0.15 | 	 | NR |
| CACM-1408 | 	 | 0.05084745762711865 | 	 | 0.15 | 	 | NR |
| CACM-2739 | 	 | 0.05 | 	 | 0.15 | 	 | NR |
| CACM-1416 | 	 | 0.04918032786885246 | 	 | 0.15 | 	 | NR |
| CACM-2747 | 	 | 0.04838709677419355 | 	 | 0.15 | 	 | NR |
| CACM-1415 | 	 | 0.047619047619047616 | 	 | 0.15 | 	 | NR |
| CACM-2746 | 	 | 0.046875 | 	 | 0.15 | 	 | NR |
| CACM-1418 | 	 | 0.046153846153846156 | 	 | 0.15 | 	 | NR |
| CACM-2749 | 	 | 0.045454545454545456 | 	 | 0.15 | 	 | NR |
| CACM-1417 | 	 | 0.04477611940298507 | 	 | 0.15 | 	 | NR |
| CACM-2748 | 	 | 0.04411764705882353 | 	 | 0.15 | 	 | NR |
| CACM-1412 | 	 | 0.043478260869565216 | 	 | 0.15 | 	 | NR |
| CACM-2743 | 	 | 0.04285714285714286 | 	 | 0.15 | 	 | NR |
| CACM-1411 | 	 | 0.04225352112676056 | 	 | 0.15 | 	 | NR |
| CACM-2742 | 	 | 0.041666666666666664 | 	 | 0.15 | 	 | NR |
| CACM-1414 | 	 | 0.0410958904109589 | 	 | 0.15 | 	 | NR |
| CACM-2745 | 	 | 0.04054054054054054 | 	 | 0.15 | 	 | NR |
| CACM-1413 | 	 | 0.04 | 	 | 0.15 | 	 | NR |
| CACM-2744 | 	 | 0.039473684210526314 | 	 | 0.15 | 	 | NR |
| CACM-1410 | 	 | 0.03896103896103896 | 	 | 0.15 | 	 | NR |
| CACM-2741 | 	 | 0.038461538461538464 | 	 | 0.15 | 	 | NR |
| CACM-2740 | 	 | 0.0379746835443038 | 	 | 0.15 | 	 | NR |
| CACM-1419 | 	 | 0.0375 | 	 | 0.15 | 	 | NR |
| CACM-2714 | 	 | 0.037037037037037035 | 	 | 0.15 | 	 | NR |
| CACM-2713 | 	 | 0.036585365853658534 | 	 | 0.15 | 	 | NR |
| CACM-2716 | 	 | 0.03614457831325301 | 	 | 0.15 | 	 | NR |
| CACM-2715 | 	 | 0.03571428571428571 | 	 | 0.15 | 	 | NR |
| CACM-2710 | 	 | 0.03529411764705882 | 	 | 0.15 | 	 | NR |
| CACM-2712 | 	 | 0.03488372093023256 | 	 | 0.15 | 	 | NR |
| CACM-2711 | 	 | 0.034482758620689655 | 	 | 0.15 | 	 | NR |
| CACM-2718 | 	 | 0.03409090909090909 | 	 | 0.15 | 	 | NR |
| CACM-2717 | 	 | 0.033707865168539325 | 	 | 0.15 | 	 | NR |
| CACM-2719 | 	 | 0.03333333333333333 | 	 | 0.15 | 	 | NR |
| CACM-2725 | 	 | 0.03296703296703297 | 	 | 0.15 | 	 | NR |
| CACM-2724 | 	 | 0.03260869565217391 | 	 | 0.15 | 	 | NR |
| CACM-2727 | 	 | 0.03225806451612903 | 	 | 0.15 | 	 | NR |
| CACM-2726 | 	 | 0.031914893617021274 | 	 | 0.15 | 	 | NR |
| CACM-2721 | 	 | 0.031578947368421054 | 	 | 0.15 | 	 | NR |
| CACM-2720 | 	 | 0.03125 | 	 | 0.15 | 	 | NR |
| CACM-2723 | 	 | 0.030927835051546393 | 	 | 0.15 | 	 | NR |
| CACM-2722 | 	 | 0.030612244897959183 | 	 | 0.15 | 	 | NR |
| CACM-2729 | 	 | 0.030303030303030304 | 	 | 0.15 | 	 | NR |
| CACM-2728 | 	 | 0.03 | 	 | 0.15 | 	 | NR |
| CACM-0117 | 	 | 0.0297029702970297 | 	 | 0.15 | 	 | NR |
| CACM-1449 | 	 | 0.029411764705882353 | 	 | 0.15 | 	 | NR |
| CACM-0118 | 	 | 0.02912621359223301 | 	 | 0.15 | 	 | NR |
| CACM-1448 | 	 | 0.028846153846153848 | 	 | 0.15 | 	 | NR |
| CACM-2779 | 	 | 0.02857142857142857 | 	 | 0.15 | 	 | NR |
| CACM-0119 | 	 | 0.02830188679245283 | 	 | 0.15 | 	 | NR |
| CACM-0113 | 	 | 0.028037383177570093 | 	 | 0.15 | 	 | NR |
| CACM-1445 | 	 | 0.027777777777777776 | 	 | 0.15 | 	 | NR |
| CACM-2776 | 	 | 0.027522935779816515 | 	 | 0.15 | 	 | NR |
| CACM-0114 | 	 | 0.02727272727272727 | 	 | 0.15 | 	 | NR |
| CACM-1444 | 	 | 0.02702702702702703 | 	 | 0.15 | 	 | NR |
| CACM-2775 | 	 | 0.026785714285714284 | 	 | 0.15 | 	 | NR |
| CACM-0115 | 	 | 0.02654867256637168 | 	 | 0.15 | 	 | NR |
| CACM-1447 | 	 | 0.02631578947368421 | 	 | 0.15 | 	 | NR |
| CACM-2778 | 	 | 0.02608695652173913 | 	 | 0.15 | 	 | NR |
| CACM-0116 | 	 | 0.02586206896551724 | 	 | 0.15 | 	 | NR |
| CACM-1446 | 	 | 0.02564102564102564 | 	 | 0.15 | 	 | NR |
| CACM-2777 | 	 | 0.025423728813559324 | 	 | 0.15 | 	 | NR |
| CACM-1441 | 	 | 0.025210084033613446 | 	 | 0.15 | 	 | NR |
| CACM-2772 | 	 | 0.025 | 	 | 0.15 | 	 | NR |
| CACM-0110 | 	 | 0.024793388429752067 | 	 | 0.15 | 	 | NR |
| CACM-1440 | 	 | 0.02459016393442623 | 	 | 0.15 | 	 | NR |
| CACM-2771 | 	 | 0.024390243902439025 | 	 | 0.15 | 	 | NR |
| CACM-0111 | 	 | 0.024193548387096774 | 	 | 0.15 | 	 | NR |
| CACM-1443 | 	 | 0.024 | 	 | 0.15 | 	 | NR |
| CACM-2774 | 	 | 0.023809523809523808 | 	 | 0.15 | 	 | NR |
| CACM-0112 | 	 | 0.023622047244094488 | 	 | 0.15 | 	 | NR |
| CACM-1442 | 	 | 0.0234375 | 	 | 0.15 | 	 | NR |
| CACM-2773 | 	 | 0.023255813953488372 | 	 | 0.15 | 	 | NR |
| CACM-2770 | 	 | 0.023076923076923078 | 	 | 0.15 | 	 | NR |
| CACM-0128 | 	 | 0.022900763358778626 | 	 | 0.15 | 	 | NR |
| CACM-0129 | 	 | 0.022727272727272728 | 	 | 0.15 | 	 | NR |
| CACM-1459 | 	 | 0.022556390977443608 | 	 | 0.15 | 	 | NR |
| CACM-0124 | 	 | 0.022388059701492536 | 	 | 0.15 | 	 | NR |
| CACM-1456 | 	 | 0.022222222222222223 | 	 | 0.15 | 	 | NR |
| CACM-2787 | 	 | 0.022058823529411766 | 	 | 0.15 | 	 | NR |
| CACM-0125 | 	 | 0.021897810218978103 | 	 | 0.15 | 	 | NR |
| CACM-1455 | 	 | 0.021739130434782608 | 	 | 0.15 | 	 | NR |
| CACM-2786 | 	 | 0.02158273381294964 | 	 | 0.15 | 	 | NR |
| CACM-0126 | 	 | 0.02142857142857143 | 	 | 0.15 | 	 | NR |
| CACM-1458 | 	 | 0.02127659574468085 | 	 | 0.15 | 	 | NR |
| CACM-2789 | 	 | 0.02112676056338028 | 	 | 0.15 | 	 | NR |
| CACM-0127 | 	 | 0.02097902097902098 | 	 | 0.15 | 	 | NR |
| CACM-1457 | 	 | 0.020833333333333332 | 	 | 0.15 | 	 | NR |
| CACM-2788 | 	 | 0.020689655172413793 | 	 | 0.15 | 	 | NR |
| CACM-0120 | 	 | 0.02054794520547945 | 	 | 0.15 | 	 | NR |
| CACM-1452 | 	 | 0.02040816326530612 | 	 | 0.15 | 	 | NR |
| CACM-2783 | 	 | 0.02027027027027027 | 	 | 0.15 | 	 | NR |
| CACM-0121 | 	 | 0.020134228187919462 | 	 | 0.15 | 	 | NR |
| CACM-1451 | 	 | 0.02 | 	 | 0.15 | 	 | NR |
| CACM-2782 | 	 | 0.019867549668874173 | 	 | 0.15 | 	 | NR |
| CACM-0122 | 	 | 0.019736842105263157 | 	 | 0.15 | 	 | NR |
| CACM-1454 | 	 | 0.0196078431372549 | 	 | 0.15 | 	 | NR |
| CACM-2785 | 	 | 0.01948051948051948 | 	 | 0.15 | 	 | NR |
| CACM-0123 | 	 | 0.01935483870967742 | 	 | 0.15 | 	 | NR |
| CACM-1453 | 	 | 0.019230769230769232 | 	 | 0.15 | 	 | NR |
| CACM-2784 | 	 | 0.01910828025477707 | 	 | 0.15 | 	 | NR |
| CACM-1450 | 	 | 0.0189873417721519 | 	 | 0.15 | 	 | NR |
| CACM-2781 | 	 | 0.018867924528301886 | 	 | 0.15 | 	 | NR |
| CACM-2780 | 	 | 0.01875 | 	 | 0.15 | 	 | NR |
| CACM-1427 | 	 | 0.018633540372670808 | 	 | 0.15 | 	 | NR |
| CACM-2758 | 	 | 0.018518518518518517 | 	 | 0.15 | 	 | NR |
| CACM-1426 | 	 | 0.018404907975460124 | 	 | 0.15 | 	 | NR |
| CACM-2757 | 	 | 0.018292682926829267 | 	 | 0.15 | 	 | NR |
| CACM-1429 | 	 | 0.01818181818181818 | 	 | 0.15 | 	 | NR |
| CACM-1428 | 	 | 0.018072289156626505 | 	 | 0.15 | 	 | NR |
| CACM-2759 | 	 | 0.017964071856287425 | 	 | 0.15 | 	 | NR |
| CACM-1423 | 	 | 0.017857142857142856 | 	 | 0.15 | 	 | NR |
| CACM-2754 | 	 | 0.01775147928994083 | 	 | 0.15 | 	 | NR |
| CACM-1422 | 	 | 0.01764705882352941 | 	 | 0.15 | 	 | NR |
| CACM-2753 | 	 | 0.017543859649122806 | 	 | 0.15 | 	 | NR |
| CACM-1425 | 	 | 0.01744186046511628 | 	 | 0.15 | 	 | NR |
| CACM-2756 | 	 | 0.017341040462427744 | 	 | 0.15 | 	 | NR |
| CACM-1424 | 	 | 0.017241379310344827 | 	 | 0.15 | 	 | NR |
| CACM-2755 | 	 | 0.017142857142857144 | 	 | 0.15 | 	 | NR |
| CACM-2750 | 	 | 0.017045454545454544 | 	 | 0.15 | 	 | NR |
| CACM-1421 | 	 | 0.01694915254237288 | 	 | 0.15 | 	 | NR |
| CACM-2752 | 	 | 0.016853932584269662 | 	 | 0.15 | 	 | NR |
| CACM-1420 | 	 | 0.01675977653631285 | 	 | 0.15 | 	 | NR |
| CACM-2751 | 	 | 0.016666666666666666 | 	 | 0.15 | 	 | NR |
| CACM-0106 | 	 | 0.016574585635359115 | 	 | 0.15 | 	 | NR |
| CACM-1438 | 	 | 0.016483516483516484 | 	 | 0.15 | 	 | NR |
| CACM-2769 | 	 | 0.01639344262295082 | 	 | 0.15 | 	 | NR |
| CACM-0107 | 	 | 0.016304347826086956 | 	 | 0.15 | 	 | NR |
| CACM-1437 | 	 | 0.016216216216216217 | 	 | 0.15 | 	 | NR |
| CACM-2768 | 	 | 0.016129032258064516 | 	 | 0.15 | 	 | NR |
| CACM-0108 | 	 | 0.016042780748663103 | 	 | 0.15 | 	 | NR |
| CACM-0109 | 	 | 0.015957446808510637 | 	 | 0.15 | 	 | NR |
| CACM-1439 | 	 | 0.015873015873015872 | 	 | 0.15 | 	 | NR |
| CACM-0102 | 	 | 0.015789473684210527 | 	 | 0.15 | 	 | NR |
| CACM-1434 | 	 | 0.015706806282722512 | 	 | 0.15 | 	 | NR |
| CACM-2765 | 	 | 0.015625 | 	 | 0.15 | 	 | NR |
| CACM-0103 | 	 | 0.015544041450777202 | 	 | 0.15 | 	 | NR |
| CACM-1433 | 	 | 0.015463917525773196 | 	 | 0.15 | 	 | NR |
| CACM-2764 | 	 | 0.015384615384615385 | 	 | 0.15 | 	 | NR |
| CACM-0104 | 	 | 0.015306122448979591 | 	 | 0.15 | 	 | NR |
| CACM-1436 | 	 | 0.015228426395939087 | 	 | 0.15 | 	 | NR |
| CACM-2767 | 	 | 0.015151515151515152 | 	 | 0.15 | 	 | NR |
| CACM-0105 | 	 | 0.01507537688442211 | 	 | 0.15 | 	 | NR |
| CACM-1435 | 	 | 0.015 | 	 | 0.15 | 	 | NR |
| CACM-2766 | 	 | 0.014925373134328358 | 	 | 0.15 | 	 | NR |
| CACM-1430 | 	 | 0.01485148514851485 | 	 | 0.15 | 	 | NR |
| CACM-2761 | 	 | 0.014778325123152709 | 	 | 0.15 | 	 | NR |
| CACM-2760 | 	 | 0.014705882352941176 | 	 | 0.15 | 	 | NR |
| CACM-0100 | 	 | 0.014634146341463415 | 	 | 0.15 | 	 | NR |
| CACM-1432 | 	 | 0.014563106796116505 | 	 | 0.15 | 	 | NR |
| CACM-2763 | 	 | 0.014492753623188406 | 	 | 0.15 | 	 | NR |
| CACM-0101 | 	 | 0.014423076923076924 | 	 | 0.15 | 	 | NR |
| CACM-1431 | 	 | 0.014354066985645933 | 	 | 0.15 | 	 | NR |
| CACM-2762 | 	 | 0.014285714285714285 | 	 | 0.15 | 	 | NR |
| CACM-0157 | 	 | 0.014218009478672985 | 	 | 0.15 | 	 | NR |
| CACM-1489 | 	 | 0.014150943396226415 | 	 | 0.15 | 	 | NR |
| CACM-0158 | 	 | 0.014084507042253521 | 	 | 0.15 | 	 | NR |
| CACM-1488 | 	 | 0.014018691588785047 | 	 | 0.15 | 	 | NR |
| CACM-0159 | 	 | 0.013953488372093023 | 	 | 0.15 | 	 | NR |
| CACM-0153 | 	 | 0.013888888888888888 | 	 | 0.15 | 	 | NR |
| CACM-1485 | 	 | 0.013824884792626729 | 	 | 0.15 | 	 | NR |
| CACM-0154 | 	 | 0.013761467889908258 | 	 | 0.15 | 	 | NR |
