Query ID: 16
Query : find all descriptions of file handling in operating systems based on
multiple processes and message passing.
---------------------------------------------
| CACM-1135 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-0243 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-2378 | 	 | 0.3333333333333333 | 	 | 0.058823529411764705 | 	 | R |
| CACM-3141 | 	 | 0.25 | 	 | 0.058823529411764705 | 	 | NR |
| CACM-1854 | 	 | 0.4 | 	 | 0.11764705882352941 | 	 | R |
| CACM-1750 | 	 | 0.3333333333333333 | 	 | 0.11764705882352941 | 	 | NR |
| CACM-2080 | 	 | 0.2857142857142857 | 	 | 0.11764705882352941 | 	 | NR |
| CACM-0409 | 	 | 0.25 | 	 | 0.11764705882352941 | 	 | NR |
| CACM-2629 | 	 | 0.2222222222222222 | 	 | 0.11764705882352941 | 	 | NR |
| CACM-2522 | 	 | 0.2 | 	 | 0.11764705882352941 | 	 | NR |
| CACM-3157 | 	 | 0.18181818181818182 | 	 | 0.11764705882352941 | 	 | NR |
| CACM-2184 | 	 | 0.16666666666666666 | 	 | 0.11764705882352941 | 	 | NR |
| CACM-2688 | 	 | 0.15384615384615385 | 	 | 0.11764705882352941 | 	 | NR |
| CACM-1846 | 	 | 0.14285714285714285 | 	 | 0.11764705882352941 | 	 | NR |
| CACM-2740 | 	 | 0.13333333333333333 | 	 | 0.11764705882352941 | 	 | NR |
| CACM-2949 | 	 | 0.125 | 	 | 0.11764705882352941 | 	 | NR |
| CACM-1003 | 	 | 0.11764705882352941 | 	 | 0.11764705882352941 | 	 | NR |
| CACM-3148 | 	 | 0.16666666666666666 | 	 | 0.17647058823529413 | 	 | R |
| CACM-2931 | 	 | 0.15789473684210525 | 	 | 0.17647058823529413 | 	 | NR |
| CACM-1199 | 	 | 0.15 | 	 | 0.17647058823529413 | 	 | NR |
| CACM-2217 | 	 | 0.14285714285714285 | 	 | 0.17647058823529413 | 	 | NR |
| CACM-2168 | 	 | 0.13636363636363635 | 	 | 0.17647058823529413 | 	 | NR |
| CACM-2750 | 	 | 0.13043478260869565 | 	 | 0.17647058823529413 | 	 | NR |
| CACM-2266 | 	 | 0.125 | 	 | 0.17647058823529413 | 	 | NR |
| CACM-1677 | 	 | 0.12 | 	 | 0.17647058823529413 | 	 | NR |
| CACM-2002 | 	 | 0.11538461538461539 | 	 | 0.17647058823529413 | 	 | NR |
| CACM-0696 | 	 | 0.1111111111111111 | 	 | 0.17647058823529413 | 	 | NR |
| CACM-2320 | 	 | 0.10714285714285714 | 	 | 0.17647058823529413 | 	 | NR |
| CACM-2424 | 	 | 0.10344827586206896 | 	 | 0.17647058823529413 | 	 | NR |
| CACM-2833 | 	 | 0.1 | 	 | 0.17647058823529413 | 	 | NR |
| CACM-1747 | 	 | 0.0967741935483871 | 	 | 0.17647058823529413 | 	 | NR |
| CACM-2376 | 	 | 0.125 | 	 | 0.23529411764705882 | 	 | R |
| CACM-1753 | 	 | 0.12121212121212122 | 	 | 0.23529411764705882 | 	 | NR |
| CACM-1928 | 	 | 0.11764705882352941 | 	 | 0.23529411764705882 | 	 | NR |
| CACM-2622 | 	 | 0.11428571428571428 | 	 | 0.23529411764705882 | 	 | NR |
| CACM-2317 | 	 | 0.1111111111111111 | 	 | 0.23529411764705882 | 	 | NR |
| CACM-1462 | 	 | 0.10810810810810811 | 	 | 0.23529411764705882 | 	 | NR |
| CACM-2307 | 	 | 0.10526315789473684 | 	 | 0.23529411764705882 | 	 | NR |
| CACM-2890 | 	 | 0.10256410256410256 | 	 | 0.23529411764705882 | 	 | NR |
| CACM-1749 | 	 | 0.125 | 	 | 0.29411764705882354 | 	 | R |
| CACM-2482 | 	 | 0.12195121951219512 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-2358 | 	 | 0.11904761904761904 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-1032 | 	 | 0.11627906976744186 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-2438 | 	 | 0.11363636363636363 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-2379 | 	 | 0.1111111111111111 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-1514 | 	 | 0.10869565217391304 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-2947 | 	 | 0.10638297872340426 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-2950 | 	 | 0.10416666666666667 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-2160 | 	 | 0.10204081632653061 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-1388 | 	 | 0.1 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-3081 | 	 | 0.09803921568627451 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-3127 | 	 | 0.09615384615384616 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-2188 | 	 | 0.09433962264150944 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-1698 | 	 | 0.09259259259259259 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-1976 | 	 | 0.09090909090909091 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-3119 | 	 | 0.08928571428571429 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-3049 | 	 | 0.08771929824561403 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-1844 | 	 | 0.08620689655172414 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-3134 | 	 | 0.0847457627118644 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-2524 | 	 | 0.08333333333333333 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-3002 | 	 | 0.08196721311475409 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-2396 | 	 | 0.08064516129032258 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-2542 | 	 | 0.07936507936507936 | 	 | 0.29411764705882354 | 	 | NR |
| CACM-2342 | 	 | 0.09375 | 	 | 0.35294117647058826 | 	 | R |
| CACM-1752 | 	 | 0.09230769230769231 | 	 | 0.35294117647058826 | 	 | NR |
| CACM-2582 | 	 | 0.09090909090909091 | 	 | 0.35294117647058826 | 	 | NR |
| CACM-1264 | 	 | 0.08955223880597014 | 	 | 0.35294117647058826 | 	 | NR |
| CACM-1748 | 	 | 0.08823529411764706 | 	 | 0.35294117647058826 | 	 | NR |
