Query ID: 62
Query : Results relating parallel complexity theory (both for PRAM's and
uniform circuits).
---------------------------------------------
| CACM-1961 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-1368 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-2430 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-2932 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-0320 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-2327 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-2685 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-2702 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-2720 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-2326 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-2927 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-1143 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-1856 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-1424 | 	 | 0.0 | 	 | 0.0 | 	 | NR |
| CACM-3156 | 	 | 0.06666666666666667 | 	 | 0.125 | 	 | R |
| CACM-2790 | 	 | 0.0625 | 	 | 0.125 | 	 | NR |
| CACM-1309 | 	 | 0.058823529411764705 | 	 | 0.125 | 	 | NR |
| CACM-2975 | 	 | 0.05555555555555555 | 	 | 0.125 | 	 | NR |
| CACM-2401 | 	 | 0.05263157894736842 | 	 | 0.125 | 	 | NR |
| CACM-1603 | 	 | 0.05 | 	 | 0.125 | 	 | NR |
| CACM-2333 | 	 | 0.047619047619047616 | 	 | 0.125 | 	 | NR |
| CACM-3086 | 	 | 0.045454545454545456 | 	 | 0.125 | 	 | NR |
| CACM-2076 | 	 | 0.043478260869565216 | 	 | 0.125 | 	 | NR |
| CACM-2220 | 	 | 0.041666666666666664 | 	 | 0.125 | 	 | NR |
| CACM-0950 | 	 | 0.04 | 	 | 0.125 | 	 | NR |
| CACM-1725 | 	 | 0.038461538461538464 | 	 | 0.125 | 	 | NR |
| CACM-1948 | 	 | 0.037037037037037035 | 	 | 0.125 | 	 | NR |
| CACM-2189 | 	 | 0.03571428571428571 | 	 | 0.125 | 	 | NR |
| CACM-2216 | 	 | 0.034482758620689655 | 	 | 0.125 | 	 | NR |
| CACM-2227 | 	 | 0.03333333333333333 | 	 | 0.125 | 	 | NR |
| CACM-2195 | 	 | 0.03225806451612903 | 	 | 0.125 | 	 | NR |
| CACM-2200 | 	 | 0.03125 | 	 | 0.125 | 	 | NR |
| CACM-1266 | 	 | 0.030303030303030304 | 	 | 0.125 | 	 | NR |
| CACM-1566 | 	 | 0.029411764705882353 | 	 | 0.125 | 	 | NR |
| CACM-1648 | 	 | 0.02857142857142857 | 	 | 0.125 | 	 | NR |
| CACM-2784 | 	 | 0.027777777777777776 | 	 | 0.125 | 	 | NR |
| CACM-2580 | 	 | 0.02702702702702703 | 	 | 0.125 | 	 | NR |
| CACM-2342 | 	 | 0.02631578947368421 | 	 | 0.125 | 	 | NR |
| CACM-2709 | 	 | 0.02564102564102564 | 	 | 0.125 | 	 | NR |
| CACM-2714 | 	 | 0.05 | 	 | 0.25 | 	 | R |
| CACM-3045 | 	 | 0.04878048780487805 | 	 | 0.25 | 	 | NR |
| CACM-2649 | 	 | 0.047619047619047616 | 	 | 0.25 | 	 | NR |
| CACM-2596 | 	 | 0.046511627906976744 | 	 | 0.25 | 	 | NR |
| CACM-1806 | 	 | 0.045454545454545456 | 	 | 0.25 | 	 | NR |
| CACM-1262 | 	 | 0.044444444444444446 | 	 | 0.25 | 	 | NR |
| CACM-2973 | 	 | 0.043478260869565216 | 	 | 0.25 | 	 | NR |
| CACM-0335 | 	 | 0.0425531914893617 | 	 | 0.25 | 	 | NR |
| CACM-1158 | 	 | 0.041666666666666664 | 	 | 0.25 | 	 | NR |
| CACM-1925 | 	 | 0.04081632653061224 | 	 | 0.25 | 	 | NR |
| CACM-2896 | 	 | 0.04 | 	 | 0.25 | 	 | NR |
| CACM-2337 | 	 | 0.0392156862745098 | 	 | 0.25 | 	 | NR |
| CACM-2700 | 	 | 0.038461538461538464 | 	 | 0.25 | 	 | NR |
| CACM-1911 | 	 | 0.03773584905660377 | 	 | 0.25 | 	 | NR |
| CACM-2057 | 	 | 0.037037037037037035 | 	 | 0.25 | 	 | NR |
| CACM-3007 | 	 | 0.03636363636363636 | 	 | 0.25 | 	 | NR |
| CACM-2346 | 	 | 0.03571428571428571 | 	 | 0.25 | 	 | NR |
| CACM-3084 | 	 | 0.03508771929824561 | 	 | 0.25 | 	 | NR |
| CACM-2598 | 	 | 0.034482758620689655 | 	 | 0.25 | 	 | NR |
| CACM-1601 | 	 | 0.05084745762711865 | 	 | 0.375 | 	 | R |
| CACM-2266 | 	 | 0.05 | 	 | 0.375 | 	 | NR |
| CACM-2560 | 	 | 0.04918032786885246 | 	 | 0.375 | 	 | NR |
| CACM-1933 | 	 | 0.04838709677419355 | 	 | 0.375 | 	 | NR |
| CACM-2134 | 	 | 0.047619047619047616 | 	 | 0.375 | 	 | NR |
| CACM-2785 | 	 | 0.046875 | 	 | 0.375 | 	 | NR |
| CACM-3055 | 	 | 0.046153846153846156 | 	 | 0.375 | 	 | NR |
| CACM-1888 | 	 | 0.045454545454545456 | 	 | 0.375 | 	 | NR |
| CACM-1595 | 	 | 0.04477611940298507 | 	 | 0.375 | 	 | NR |
| CACM-2809 | 	 | 0.04411764705882353 | 	 | 0.375 | 	 | NR |
| CACM-1302 | 	 | 0.043478260869565216 | 	 | 0.375 | 	 | NR |
| CACM-1828 | 	 | 0.04285714285714286 | 	 | 0.375 | 	 | NR |
| CACM-0141 | 	 | 0.04225352112676056 | 	 | 0.375 | 	 | NR |
| CACM-0678 | 	 | 0.041666666666666664 | 	 | 0.375 | 	 | NR |
| CACM-3075 | 	 | 0.0547945205479452 | 	 | 0.5 | 	 | R |
| CACM-2795 | 	 | 0.05405405405405406 | 	 | 0.5 | 	 | NR |
| CACM-2469 | 	 | 0.05333333333333334 | 	 | 0.5 | 	 | NR |
| CACM-1957 | 	 | 0.05263157894736842 | 	 | 0.5 | 	 | NR |
| CACM-0392 | 	 | 0.05194805194805195 | 	 | 0.5 | 	 | NR |
| CACM-2110 | 	 | 0.05128205128205128 | 	 | 0.5 | 	 | NR |
| CACM-2648 | 	 | 0.05063291139240506 | 	 | 0.5 | 	 | NR |
| CACM-3175 | 	 | 0.05 | 	 | 0.5 | 	 | NR |
| CACM-0252 | 	 | 0.04938271604938271 | 	 | 0.5 | 	 | NR |
| CACM-2895 | 	 | 0.04878048780487805 | 	 | 0.5 | 	 | NR |
| CACM-1887 | 	 | 0.04819277108433735 | 	 | 0.5 | 	 | NR |
| CACM-2842 | 	 | 0.047619047619047616 | 	 | 0.5 | 	 | NR |
| CACM-3059 | 	 | 0.047058823529411764 | 	 | 0.5 | 	 | NR |
| CACM-2837 | 	 | 0.046511627906976744 | 	 | 0.5 | 	 | NR |
| CACM-3163 | 	 | 0.04597701149425287 | 	 | 0.5 | 	 | NR |
| CACM-1795 | 	 | 0.045454545454545456 | 	 | 0.5 | 	 | NR |
| CACM-2924 | 	 | 0.0449438202247191 | 	 | 0.5 | 	 | NR |
| CACM-2898 | 	 | 0.044444444444444446 | 	 | 0.5 | 	 | NR |
| CACM-1468 | 	 | 0.04395604395604396 | 	 | 0.5 | 	 | NR |
| CACM-1825 | 	 | 0.043478260869565216 | 	 | 0.5 | 	 | NR |
| CACM-2182 | 	 | 0.043010752688172046 | 	 | 0.5 | 	 | NR |
| CACM-2865 | 	 | 0.0425531914893617 | 	 | 0.5 | 	 | NR |
| CACM-2323 | 	 | 0.042105263157894736 | 	 | 0.5 | 	 | NR |
| CACM-2557 | 	 | 0.041666666666666664 | 	 | 0.5 | 	 | NR |
| CACM-2931 | 	 | 0.041237113402061855 | 	 | 0.5 | 	 | NR |
| CACM-2515 | 	 | 0.04081632653061224 | 	 | 0.5 | 	 | NR |
| CACM-2743 | 	 | 0.04040404040404041 | 	 | 0.5 | 	 | NR |
| CACM-1136 | 	 | 0.04 | 	 | 0.5 | 	 | NR |
| CACM-2616 | 	 | 0.039603960396039604 | 	 | 0.5 | 	 | NR |
| CACM-1101 | 	 | 0.0392156862745098 | 	 | 0.5 | 	 | NR |
| CACM-2121 | 	 | 0.038834951456310676 | 	 | 0.5 | 	 | NR |
| CACM-1048 | 	 | 0.038461538461538464 | 	 | 0.5 | 	 | NR |
| CACM-2938 | 	 | 0.0380952380952381 | 	 | 0.5 | 	 | NR |
| CACM-2997 | 	 | 0.03773584905660377 | 	 | 0.5 | 	 | NR |
| CACM-2545 | 	 | 0.037383177570093455 | 	 | 0.5 | 	 | NR |
| CACM-2484 | 	 | 0.037037037037037035 | 	 | 0.5 | 	 | NR |
| CACM-1870 | 	 | 0.03669724770642202 | 	 | 0.5 | 	 | NR |
| CACM-1834 | 	 | 0.03636363636363636 | 	 | 0.5 | 	 | NR |
| CACM-3073 | 	 | 0.036036036036036036 | 	 | 0.5 | 	 | NR |
| CACM-1840 | 	 | 0.03571428571428571 | 	 | 0.5 | 	 | NR |
| CACM-2289 | 	 | 0.04424778761061947 | 	 | 0.625 | 	 | R |
| CACM-1382 | 	 | 0.043859649122807015 | 	 | 0.625 | 	 | NR |
| CACM-1967 | 	 | 0.043478260869565216 | 	 | 0.625 | 	 | NR |
| CACM-2416 | 	 | 0.04310344827586207 | 	 | 0.625 | 	 | NR |
| CACM-1664 | 	 | 0.042735042735042736 | 	 | 0.625 | 	 | NR |
| CACM-1792 | 	 | 0.0423728813559322 | 	 | 0.625 | 	 | NR |
| CACM-2476 | 	 | 0.04201680672268908 | 	 | 0.625 | 	 | NR |
| CACM-1569 | 	 | 0.041666666666666664 | 	 | 0.625 | 	 | NR |
| CACM-2133 | 	 | 0.04132231404958678 | 	 | 0.625 | 	 | NR |
| CACM-2851 | 	 | 0.040983606557377046 | 	 | 0.625 | 	 | NR |
| CACM-2175 | 	 | 0.04065040650406504 | 	 | 0.625 | 	 | NR |
| CACM-0940 | 	 | 0.04032258064516129 | 	 | 0.625 | 	 | NR |
| CACM-2232 | 	 | 0.04 | 	 | 0.625 | 	 | NR |
| CACM-1841 | 	 | 0.03968253968253968 | 	 | 0.625 | 	 | NR |
| CACM-1934 | 	 | 0.03937007874015748 | 	 | 0.625 | 	 | NR |
| CACM-2080 | 	 | 0.0390625 | 	 | 0.625 | 	 | NR |
| CACM-2828 | 	 | 0.03875968992248062 | 	 | 0.625 | 	 | NR |
| CACM-2672 | 	 | 0.038461538461538464 | 	 | 0.625 | 	 | NR |
| CACM-2028 | 	 | 0.03816793893129771 | 	 | 0.625 | 	 | NR |
| CACM-1678 | 	 | 0.03787878787878788 | 	 | 0.625 | 	 | NR |
| CACM-2936 | 	 | 0.03759398496240601 | 	 | 0.625 | 	 | NR |
| CACM-2918 | 	 | 0.03731343283582089 | 	 | 0.625 | 	 | NR |
| CACM-1420 | 	 | 0.037037037037037035 | 	 | 0.625 | 	 | NR |
| CACM-2504 | 	 | 0.03676470588235294 | 	 | 0.625 | 	 | NR |
| CACM-2255 | 	 | 0.0364963503649635 | 	 | 0.625 | 	 | NR |
| CACM-3065 | 	 | 0.036231884057971016 | 	 | 0.625 | 	 | NR |
| CACM-1846 | 	 | 0.03597122302158273 | 	 | 0.625 | 	 | NR |
| CACM-2703 | 	 | 0.03571428571428571 | 	 | 0.625 | 	 | NR |
| CACM-1747 | 	 | 0.03546099290780142 | 	 | 0.625 | 	 | NR |
| CACM-2570 | 	 | 0.035211267605633804 | 	 | 0.625 | 	 | NR |
| CACM-1334 | 	 | 0.03496503496503497 | 	 | 0.625 | 	 | NR |
| CACM-3096 | 	 | 0.034722222222222224 | 	 | 0.625 | 	 | NR |
| CACM-1409 | 	 | 0.034482758620689655 | 	 | 0.625 | 	 | NR |
| CACM-2470 | 	 | 0.03424657534246575 | 	 | 0.625 | 	 | NR |
| CACM-2914 | 	 | 0.034013605442176874 | 	 | 0.625 | 	 | NR |
| CACM-0973 | 	 | 0.033783783783783786 | 	 | 0.625 | 	 | NR |
| CACM-2290 | 	 | 0.03355704697986577 | 	 | 0.625 | 	 | NR |
| CACM-2054 | 	 | 0.03333333333333333 | 	 | 0.625 | 	 | NR |
| CACM-2706 | 	 | 0.033112582781456956 | 	 | 0.625 | 	 | NR |
| CACM-3083 | 	 | 0.03289473684210526 | 	 | 0.625 | 	 | NR |
| CACM-2433 | 	 | 0.032679738562091505 | 	 | 0.625 | 	 | NR |
| CACM-1932 | 	 | 0.032467532467532464 | 	 | 0.625 | 	 | NR |
| CACM-3107 | 	 | 0.03225806451612903 | 	 | 0.625 | 	 | NR |
| CACM-3044 | 	 | 0.03205128205128205 | 	 | 0.625 | 	 | NR |
| CACM-2263 | 	 | 0.03184713375796178 | 	 | 0.625 | 	 | NR |
| CACM-2734 | 	 | 0.03164556962025317 | 	 | 0.625 | 	 | NR |
| CACM-2882 | 	 | 0.031446540880503145 | 	 | 0.625 | 	 | NR |
| CACM-2261 | 	 | 0.03125 | 	 | 0.625 | 	 | NR |
| CACM-3162 | 	 | 0.031055900621118012 | 	 | 0.625 | 	 | NR |
| CACM-2325 | 	 | 0.030864197530864196 | 	 | 0.625 | 	 | NR |
| CACM-2368 | 	 | 0.03067484662576687 | 	 | 0.625 | 	 | NR |
| CACM-1928 | 	 | 0.03048780487804878 | 	 | 0.625 | 	 | NR |
| CACM-0103 | 	 | 0.030303030303030304 | 	 | 0.625 | 	 | NR |
| CACM-2631 | 	 | 0.030120481927710843 | 	 | 0.625 | 	 | NR |
| CACM-1518 | 	 | 0.029940119760479042 | 	 | 0.625 | 	 | NR |
| CACM-1638 | 	 | 0.02976190476190476 | 	 | 0.625 | 	 | NR |
| CACM-2889 | 	 | 0.029585798816568046 | 	 | 0.625 | 	 | NR |
| CACM-2740 | 	 | 0.029411764705882353 | 	 | 0.625 | 	 | NR |
| CACM-1008 | 	 | 0.029239766081871343 | 	 | 0.625 | 	 | NR |
| CACM-2727 | 	 | 0.029069767441860465 | 	 | 0.625 | 	 | NR |
| CACM-2838 | 	 | 0.028901734104046242 | 	 | 0.625 | 	 | NR |
| CACM-2453 | 	 | 0.028735632183908046 | 	 | 0.625 | 	 | NR |
| CACM-1051 | 	 | 0.02857142857142857 | 	 | 0.625 | 	 | NR |
| CACM-2622 | 	 | 0.028409090909090908 | 	 | 0.625 | 	 | NR |
| CACM-2859 | 	 | 0.02824858757062147 | 	 | 0.625 | 	 | NR |
| CACM-2449 | 	 | 0.028089887640449437 | 	 | 0.625 | 	 | NR |
| CACM-2595 | 	 | 0.027932960893854747 | 	 | 0.625 | 	 | NR |
| CACM-1567 | 	 | 0.027777777777777776 | 	 | 0.625 | 	 | NR |
| CACM-2375 | 	 | 0.027624309392265192 | 	 | 0.625 | 	 | NR |
| CACM-2628 | 	 | 0.027472527472527472 | 	 | 0.625 | 	 | NR |
| CACM-0727 | 	 | 0.0273224043715847 | 	 | 0.625 | 	 | NR |
| CACM-1471 | 	 | 0.02717391304347826 | 	 | 0.625 | 	 | NR |
| CACM-2251 | 	 | 0.02702702702702703 | 	 | 0.625 | 	 | NR |
| CACM-1200 | 	 | 0.026881720430107527 | 	 | 0.625 | 	 | NR |
| CACM-1554 | 	 | 0.026737967914438502 | 	 | 0.625 | 	 | NR |
| CACM-2985 | 	 | 0.026595744680851064 | 	 | 0.625 | 	 | NR |
| CACM-3034 | 	 | 0.026455026455026454 | 	 | 0.625 | 	 | NR |
| CACM-0822 | 	 | 0.02631578947368421 | 	 | 0.625 | 	 | NR |
| CACM-0675 | 	 | 0.02617801047120419 | 	 | 0.625 | 	 | NR |
| CACM-3010 | 	 | 0.026041666666666668 | 	 | 0.625 | 	 | NR |
| CACM-1013 | 	 | 0.025906735751295335 | 	 | 0.625 | 	 | NR |
| CACM-1035 | 	 | 0.02577319587628866 | 	 | 0.625 | 	 | NR |
| CACM-1935 | 	 | 0.02564102564102564 | 	 | 0.625 | 	 | NR |
| CACM-2388 | 	 | 0.025510204081632654 | 	 | 0.625 | 	 | NR |
| CACM-3037 | 	 | 0.025380710659898477 | 	 | 0.625 | 	 | NR |
| CACM-2766 | 	 | 0.025252525252525252 | 	 | 0.625 | 	 | NR |
| CACM-0409 | 	 | 0.02512562814070352 | 	 | 0.625 | 	 | NR |
| CACM-2514 | 	 | 0.025 | 	 | 0.625 | 	 | NR |
| CACM-2726 | 	 | 0.024875621890547265 | 	 | 0.625 | 	 | NR |
| CACM-1536 | 	 | 0.024752475247524754 | 	 | 0.625 | 	 | NR |
| CACM-2855 | 	 | 0.024630541871921183 | 	 | 0.625 | 	 | NR |
| CACM-1153 | 	 | 0.024509803921568627 | 	 | 0.625 | 	 | NR |
| CACM-1671 | 	 | 0.024390243902439025 | 	 | 0.625 | 	 | NR |
| CACM-2651 | 	 | 0.024271844660194174 | 	 | 0.625 | 	 | NR |
| CACM-2380 | 	 | 0.024154589371980676 | 	 | 0.625 | 	 | NR |
| CACM-1533 | 	 | 0.02403846153846154 | 	 | 0.625 | 	 | NR |
| CACM-1258 | 	 | 0.023923444976076555 | 	 | 0.625 | 	 | NR |
| CACM-2454 | 	 | 0.023809523809523808 | 	 | 0.625 | 	 | NR |
| CACM-1711 | 	 | 0.023696682464454975 | 	 | 0.625 | 	 | NR |
| CACM-3100 | 	 | 0.02358490566037736 | 	 | 0.625 | 	 | NR |
| CACM-1341 | 	 | 0.023474178403755867 | 	 | 0.625 | 	 | NR |
| CACM-1199 | 	 | 0.02336448598130841 | 	 | 0.625 | 	 | NR |
| CACM-2620 | 	 | 0.023255813953488372 | 	 | 0.625 | 	 | NR |
| CACM-2167 | 	 | 0.023148148148148147 | 	 | 0.625 | 	 | NR |
| CACM-3016 | 	 | 0.02304147465437788 | 	 | 0.625 | 	 | NR |
| CACM-3012 | 	 | 0.022935779816513763 | 	 | 0.625 | 	 | NR |
| CACM-1115 | 	 | 0.0228310502283105 | 	 | 0.625 | 	 | NR |
| CACM-3140 | 	 | 0.022727272727272728 | 	 | 0.625 | 	 | NR |
| CACM-1462 | 	 | 0.02262443438914027 | 	 | 0.625 | 	 | NR |
| CACM-2180 | 	 | 0.02252252252252252 | 	 | 0.625 | 	 | NR |
| CACM-2406 | 	 | 0.02242152466367713 | 	 | 0.625 | 	 | NR |
| CACM-1960 | 	 | 0.022321428571428572 | 	 | 0.625 | 	 | NR |
| CACM-1519 | 	 | 0.022222222222222223 | 	 | 0.625 | 	 | NR |
| CACM-1874 | 	 | 0.022123893805309734 | 	 | 0.625 | 	 | NR |
| CACM-1613 | 	 | 0.022026431718061675 | 	 | 0.625 | 	 | NR |
| CACM-1658 | 	 | 0.021929824561403508 | 	 | 0.625 | 	 | NR |
| CACM-3110 | 	 | 0.021834061135371178 | 	 | 0.625 | 	 | NR |
| CACM-2114 | 	 | 0.021739130434782608 | 	 | 0.625 | 	 | NR |
| CACM-2300 | 	 | 0.021645021645021644 | 	 | 0.625 | 	 | NR |
| CACM-1009 | 	 | 0.021551724137931036 | 	 | 0.625 | 	 | NR |
| CACM-1111 | 	 | 0.02145922746781116 | 	 | 0.625 | 	 | NR |
| CACM-2979 | 	 | 0.021367521367521368 | 	 | 0.625 | 	 | NR |
| CACM-1148 | 	 | 0.02127659574468085 | 	 | 0.625 | 	 | NR |
| CACM-1429 | 	 | 0.0211864406779661 | 	 | 0.625 | 	 | NR |
| CACM-1719 | 	 | 0.02109704641350211 | 	 | 0.625 | 	 | NR |
| CACM-2977 | 	 | 0.02100840336134454 | 	 | 0.625 | 	 | NR |
| CACM-2899 | 	 | 0.02092050209205021 | 	 | 0.625 | 	 | NR |
| CACM-2376 | 	 | 0.020833333333333332 | 	 | 0.625 | 	 | NR |
| CACM-1615 | 	 | 0.02074688796680498 | 	 | 0.625 | 	 | NR |
| CACM-1947 | 	 | 0.02066115702479339 | 	 | 0.625 | 	 | NR |
| CACM-2664 | 	 | 0.024691358024691357 | 	 | 0.75 | 	 | R |
| CACM-1867 | 	 | 0.02459016393442623 | 	 | 0.75 | 	 | NR |
| CACM-1647 | 	 | 0.024489795918367346 | 	 | 0.75 | 	 | NR |
| CACM-1028 | 	 | 0.024390243902439025 | 	 | 0.75 | 	 | NR |
| CACM-3106 | 	 | 0.024291497975708502 | 	 | 0.75 | 	 | NR |
| CACM-2990 | 	 | 0.024193548387096774 | 	 | 0.75 | 	 | NR |
| CACM-2682 | 	 | 0.024096385542168676 | 	 | 0.75 | 	 | NR |
| CACM-2059 | 	 | 0.024 | 	 | 0.75 | 	 | NR |
| CACM-1752 | 	 | 0.02390438247011952 | 	 | 0.75 | 	 | NR |
| CACM-1972 | 	 | 0.023809523809523808 | 	 | 0.75 | 	 | NR |
| CACM-2806 | 	 | 0.023715415019762844 | 	 | 0.75 | 	 | NR |
| CACM-2097 | 	 | 0.023622047244094488 | 	 | 0.75 | 	 | NR |
| CACM-1346 | 	 | 0.023529411764705882 | 	 | 0.75 | 	 | NR |
| CACM-2166 | 	 | 0.0234375 | 	 | 0.75 | 	 | NR |
| CACM-2196 | 	 | 0.023346303501945526 | 	 | 0.75 | 	 | NR |
| CACM-1541 | 	 | 0.023255813953488372 | 	 | 0.75 | 	 | NR |
| CACM-3040 | 	 | 0.023166023166023165 | 	 | 0.75 | 	 | NR |
| CACM-2313 | 	 | 0.023076923076923078 | 	 | 0.75 | 	 | NR |
| CACM-1398 | 	 | 0.022988505747126436 | 	 | 0.75 | 	 | NR |
| CACM-1637 | 	 | 0.022900763358778626 | 	 | 0.75 | 	 | NR |
| CACM-2665 | 	 | 0.022813688212927757 | 	 | 0.75 | 	 | NR |
| CACM-2077 | 	 | 0.022727272727272728 | 	 | 0.75 | 	 | NR |
| CACM-1959 | 	 | 0.022641509433962263 | 	 | 0.75 | 	 | NR |
| CACM-0040 | 	 | 0.022556390977443608 | 	 | 0.75 | 	 | NR |
| CACM-2447 | 	 | 0.02247191011235955 | 	 | 0.75 | 	 | NR |
| CACM-2015 | 	 | 0.022388059701492536 | 	 | 0.75 | 	 | NR |
| CACM-0848 | 	 | 0.022304832713754646 | 	 | 0.75 | 	 | NR |
| CACM-2911 | 	 | 0.022222222222222223 | 	 | 0.75 | 	 | NR |
| CACM-0849 | 	 | 0.02214022140221402 | 	 | 0.75 | 	 | NR |
| CACM-3038 | 	 | 0.022058823529411766 | 	 | 0.75 | 	 | NR |
| CACM-3078 | 	 | 0.02197802197802198 | 	 | 0.75 | 	 | NR |
| CACM-2107 | 	 | 0.021897810218978103 | 	 | 0.75 | 	 | NR |
| CACM-2435 | 	 | 0.02181818181818182 | 	 | 0.75 | 	 | NR |
| CACM-1224 | 	 | 0.021739130434782608 | 	 | 0.75 | 	 | NR |
| CACM-1720 | 	 | 0.021660649819494584 | 	 | 0.75 | 	 | NR |
| CACM-2804 | 	 | 0.02158273381294964 | 	 | 0.75 | 	 | NR |
| CACM-2379 | 	 | 0.021505376344086023 | 	 | 0.75 | 	 | NR |
| CACM-1194 | 	 | 0.02142857142857143 | 	 | 0.75 | 	 | NR |
| CACM-1164 | 	 | 0.021352313167259787 | 	 | 0.75 | 	 | NR |
| CACM-2929 | 	 | 0.02127659574468085 | 	 | 0.75 | 	 | NR |
| CACM-1325 | 	 | 0.02120141342756184 | 	 | 0.75 | 	 | NR |
| CACM-2712 | 	 | 0.02112676056338028 | 	 | 0.75 | 	 | NR |
| CACM-1551 | 	 | 0.021052631578947368 | 	 | 0.75 | 	 | NR |
| CACM-2820 | 	 | 0.02097902097902098 | 	 | 0.75 | 	 | NR |
| CACM-0185 | 	 | 0.020905923344947737 | 	 | 0.75 | 	 | NR |
| CACM-0111 | 	 | 0.020833333333333332 | 	 | 0.75 | 	 | NR |
| CACM-1892 | 	 | 0.020761245674740483 | 	 | 0.75 | 	 | NR |
| CACM-3150 | 	 | 0.020689655172413793 | 	 | 0.75 | 	 | NR |
| CACM-3146 | 	 | 0.020618556701030927 | 	 | 0.75 | 	 | NR |
| CACM-2031 | 	 | 0.02054794520547945 | 	 | 0.75 | 	 | NR |
| CACM-2177 | 	 | 0.020477815699658702 | 	 | 0.75 | 	 | NR |
| CACM-3124 | 	 | 0.02040816326530612 | 	 | 0.75 | 	 | NR |
| CACM-1553 | 	 | 0.020338983050847456 | 	 | 0.75 | 	 | NR |
| CACM-3032 | 	 | 0.02027027027027027 | 	 | 0.75 | 	 | NR |
| CACM-1643 | 	 | 0.020202020202020204 | 	 | 0.75 | 	 | NR |
| CACM-1912 | 	 | 0.020134228187919462 | 	 | 0.75 | 	 | NR |
| CACM-2272 | 	 | 0.020066889632107024 | 	 | 0.75 | 	 | NR |
| CACM-2209 | 	 | 0.02 | 	 | 0.75 | 	 | NR |
| CACM-3069 | 	 | 0.019933554817275746 | 	 | 0.75 | 	 | NR |
| CACM-0092 | 	 | 0.019867549668874173 | 	 | 0.75 | 	 | NR |
| CACM-2765 | 	 | 0.019801980198019802 | 	 | 0.75 | 	 | NR |
| CACM-2285 | 	 | 0.019736842105263157 | 	 | 0.75 | 	 | NR |
| CACM-1237 | 	 | 0.019672131147540985 | 	 | 0.75 | 	 | NR |
| CACM-0617 | 	 | 0.0196078431372549 | 	 | 0.75 | 	 | NR |
| CACM-1722 | 	 | 0.019543973941368076 | 	 | 0.75 | 	 | NR |
| CACM-2434 | 	 | 0.01948051948051948 | 	 | 0.75 | 	 | NR |
| CACM-2986 | 	 | 0.019417475728155338 | 	 | 0.75 | 	 | NR |
| CACM-0670 | 	 | 0.01935483870967742 | 	 | 0.75 | 	 | NR |
| CACM-1225 | 	 | 0.01929260450160772 | 	 | 0.75 | 	 | NR |
| CACM-2127 | 	 | 0.019230769230769232 | 	 | 0.75 | 	 | NR |
| CACM-2305 | 	 | 0.019169329073482427 | 	 | 0.75 | 	 | NR |
| CACM-2258 | 	 | 0.01910828025477707 | 	 | 0.75 | 	 | NR |
| CACM-2030 | 	 | 0.01904761904761905 | 	 | 0.75 | 	 | NR |
| CACM-2746 | 	 | 0.0189873417721519 | 	 | 0.75 | 	 | NR |
| CACM-3195 | 	 | 0.01892744479495268 | 	 | 0.75 | 	 | NR |
| CACM-1165 | 	 | 0.018867924528301886 | 	 | 0.75 | 	 | NR |
| CACM-3018 | 	 | 0.018808777429467086 | 	 | 0.75 | 	 | NR |
| CACM-1528 | 	 | 0.01875 | 	 | 0.75 | 	 | NR |
| CACM-3093 | 	 | 0.018691588785046728 | 	 | 0.75 | 	 | NR |
